iter	Passed	Remaining
1608	22235	5403
1609	22248	5389
1610	22262	5375
1611	22275	5361
1612	22288	5347
1613	22302	5333
1614	22317	5320
1615	22331	5306
1616	22344	5292
1617	22359	5278
1618	22371	5264
1619	22384	5250
1620	22397	5236
1621	22409	5222
1622	22422	5208
1623	22434	5194
1624	22449	5180
1625	22461	5166
1626	22474	5152
1627	22488	5138
1628	22502	5124
1629	22516	5111
1630	22529	5097
1631	22542	5083
1632	22554	5068
1633	22564	5054
1634	22577	5040
1635	22590	5026
1636	22605	5012
1637	22618	4998
1638	22631	4984
1639	22646	4971
1640	22659	4957
1641	22672	4943
1642	22686	4929
1643	22699	4915
1644	22711	4901
1645	22725	4887
1646	22737	4873
1647	22749	4859
1648	22763	4845
1649	22774	4831
1650	22788	4817
1651	22801	4803
1652	22815	4789
1653	22829	4775
1654	22843	4761
1655	22855	4747
1656	22868	4733
1657	22881	4719
1658	22894	4705
1659	22908	4692
1660	22922	4678
1661	22934	4664
1662	22947	4650
1663	22960	4636
1664	22973	4622
1665	22986	4608
