timestamp,emg1,emg2,emg3,label
2845619,5521,43466,46779,11
2845624,15299,43194,46059,11
2845629,6913,37257,43274,11
2845634,9858,44042,37321,11
2845639,4897,45595,44186,11
2845644,3808,42458,40681,11
2845649,3072,41354,35224,11
2845654,9218,43402,36344,11
2845659,2816,44234,37529,11
2845664,7201,40073,43946,11
2845669,13123,42330,44266,11
2845674,3008,42714,41834,11
2845679,3296,43962,42570,11
2845684,5873,41994,38921,11
2845689,8626,39145,38857,11
2845694,2816,41418,40665,11
2845699,2832,41866,49420,11
2845704,6241,41706,43546,11
2845709,8450,39241,36536,11
2845714,6753,42010,39977,11
2845719,5153,44490,43146,11
2845759,3152,42746,42618,11
2845764,10354,39929,40521,11
2845769,11842,37705,41018,11
2845774,2928,43194,39305,11
2845779,4048,43738,42954,11
2845784,11810,41722,42266,11
2845789,5073,37529,36552,11
2845794,13571,43226,45002,11
2845799,2768,43722,43130,11
2845804,2112,40761,37289,11
2845809,5441,38585,39049,11
2845814,2064,41610,37929,11
2845819,5905,43578,42522,11
2845824,3440,38121,45067,11
2845829,9394,38345,39273,11
2845834,3360,40857,41834,11
2845839,5217,42378,43626,11
2845844,2256,41610,37945,11
2845849,8754,40105,35464,11
2845854,11970,39337,41834,11
2845859,1936,43882,41546,11
2845864,3184,39017,46027,11
2845869,5553,37721,35816,11
2845874,3312,42762,39017,11
2845879,3680,43818,42554,11
2845884,5041,37977,41450,11
2845889,6353,36776,41658,11
2845894,3760,42266,39161,11
2845899,5249,43082,42794,11
2845904,3312,41994,35496,11
2845909,7217,37449,36873,11
2845914,3904,40986,39705,11
2845919,2464,41466,46171,11
2845924,3040,38393,40025,11
2845929,9122,37961,40217,11
2845934,3216,41178,37145,11
2845941,5953,42394,38409,11
2845946,3344,39977,40761,11
2845951,3664,36696,41194,11
2845956,4817,41690,40681,11
2845961,7457,44138,38217,11
2845966,2912,37945,42218,11
2845971,2928,38633,33896,11
2845976,3952,42746,41626,11
2845981,9058,41978,42314,11
2845986,3200,39721,38985,11
2845991,6337,38937,36248,11
2845996,3408,43034,36985,11
2846001,8546,43610,41402,11
2846006,3952,39097,39209,11
2846011,5585,38057,41290,11
2846016,3968,41178,36600,11
2846021,7937,42394,46427,11
2846026,6785,40041,39081,11
2846031,3616,39593,34600,11
2846036,3760,42842,34744,11
2846041,8690,43610,41002,11
2846046,3888,39017,41578,11
2846051,3200,41514,29287,11
2846056,3936,41562,41978,11
2846061,14499,42714,39497,11
2846066,6305,39081,39433,11
2846071,3344,37033,36072,11
2846076,3584,41578,43802,11
2846081,8113,44218,42938,11
2846086,2032,38057,35832,11
2846091,2672,38361,35592,11
2846096,9074,41594,46523,11
2846101,11650,42874,42010,11
2846106,12899,37545,43146,11
2846111,8882,38185,35336,11
2846116,3552,43066,39065,11
2846121,9826,43690,41626,11
2846128,5329,36008,36664,11
2846133,12739,39529,35384,11
2846138,3376,42506,43178,11
2846143,1824,39593,45179,11
2846148,3152,35352,40793,11
2846153,4961,35672,50444,11
2846158,3200,44538,41674,11
2846163,7777,45451,32359,11
2846168,3136,35064,36536,11
2846173,4897,40233,41002,11
2846178,2928,43130,40457,11
2846183,5713,37225,48347,11
2846188,4993,36792,36088,11
2846193,5601,41466,37657,11
2846198,3728,42538,42698,11
2846203,3264,43418,41210,11
2846208,3568,37881,37401,11
2846213,11346,38921,35608,11
2846218,3664,42410,42906,11
2846223,3168,41994,39385,11
2846228,6385,37865,40873,11
2846233,6897,37881,45227,11
2846238,6177,43722,42282,11
2846243,6241,44138,34120,11
2846248,3680,36824,37529,11
2846253,6673,38217,39273,11
2846258,2464,43578,41290,11
2846263,4737,37241,51388,11
2846268,2624,37881,38025,11
2846273,6785,35400,47387,11
2846278,3104,43098,41562,11
2846283,3360,39929,40121,11
2846288,3488,38681,40233,11
2846293,3312,41338,36216,11
2846298,1920,39097,45659,11
2846303,5425,43034,42474,11
2846310,9138,35176,40009,11
2846315,3632,39417,44506,11
2846320,3936,44394,40521,11
2846325,8738,40841,38489,11
2846330,4465,36648,37849,11
2846335,3600,42826,33432,11
2846340,2304,42698,44794,11
2846345,12082,41050,42218,11
2846350,8242,37209,41722,11
2846355,4465,43626,39113,11
2846360,4113,44778,41690,11
2846365,10594,41178,38553,11
2846370,2880,35896,37881,11
2846375,3488,40281,39769,11
2846380,3424,42938,41626,11
2846385,11906,40569,42074,11
2846390,3232,38153,36969,11
2846395,7537,40089,46491,11
2846400,2336,42810,44042,11
2846405,5425,40489,38633,11
2846410,1824,36328,41578,11
2846415,3632,42250,36937,11
2846420,5713,43498,39369,11
2846425,5633,39929,43306,11
2846430,10610,37337,41210,11
2846435,8674,40105,43610,11
2846440,10002,43978,42842,11
2846445,7969,42250,39369,11
2846450,3264,35736,38105,11
2846455,3248,38569,42858,11
2846460,3616,42618,46379,11
2846465,8642,36312,49228,11
2846470,3040,36488,39849,11
2846475,4481,42762,39737,11
2846480,2320,43914,41338,11
2846485,12098,41962,36840,11
2846526,3440,39897,41306,11
2846531,3808,39289,33848,11
2846536,3584,41930,35816,11
2846541,8930,47947,30247,11
2846546,3456,38169,42506,11
2846551,8386,37929,35080,11
2846556,10690,41194,42074,11
2846561,12419,42842,42698,11
2846566,3872,38553,40889,11
2846571,6097,35720,33288,11
2846576,4305,42202,39689,11
2846581,9986,41882,46779,11
2846586,11810,37529,48203,11
2846591,4865,35784,42330,11
2846596,6913,42826,37753,11
2846601,9202,44330,40793,11
2846606,15043,38057,47195,11
2846611,5809,40249,30183,11
2846616,3152,39033,42490,11
2846621,7601,42602,45002,11
2846626,3584,40473,38617,11
2846631,1744,36552,38537,11
2846636,11506,40489,44010,11
2846641,6545,44522,40473,11
2846646,13667,40265,40153,11
2846651,5553,36488,37689,11
2846656,3136,37833,42218,11
2846661,6897,44010,39513,11
2846666,3184,41034,39753,11
2846671,5665,35208,41658,11
2846676,15555,38729,45323,11
2846681,15379,43114,41162,11
2846686,3872,40841,40169,11
2846691,7089,37161,37625,11
2846696,4673,41018,35720,11
2846701,7537,42474,45067,11
2846706,3520,41098,42522,11
2846713,5361,35032,45483,11
2846718,4881,41578,43290,11
2846723,5601,44106,35048,11
2846728,6193,37833,37753,11
2846733,3024,39225,36296,11
2846738,5537,41210,45995,11
2846743,1600,41770,42202,11
2846748,5425,39673,39289,11
2846753,5825,37097,39337,11
2846758,3696,42042,38921,11
2846763,4000,41834,41242,11
2846768,4961,38137,39513,11
2846773,6385,37753,43834,11
2846778,5569,40825,48891,11
2846783,4705,41850,40121,11
2846788,3600,38073,38889,11
2846793,9090,39321,35384,11
2846798,5361,40986,45275,11
2846803,2704,43274,41194,11
2846808,7297,40665,37305,11
2846813,9698,39785,36136,11
2846818,3760,41738,42762,11
2846823,4785,43738,39161,11
2846828,5105,38105,43754,11
2846833,8802,40249,37209,11
2846838,5473,42858,41690,11
2846843,4561,42458,38537,11
2846848,10002,39177,41386,11
2846853,10066,41386,38041,11
2846858,3776,42570,42602,11
2846863,3632,44138,37081,11
2846868,2816,40249,39865,11
2846873,9826,39561,38201,11
2846878,10722,44714,35272,11
2846883,8129,40809,43146,11
2846888,2784,38249,44042,11
2846895,3504,41418,38313,11
2846900,3872,45147,45034,11
2846905,8882,39913,40729,11
2846910,10802,37913,37353,11
2846915,2912,42234,37177,11
2846920,6097,42458,44634,11
2846925,6705,41482,40361,11
2846930,12819,37353,37961,11
2846935,3856,41178,39545,11
2846940,3392,44410,41178,11
2846945,9586,38313,44202,11
2846950,5745,36856,38169,11
2846955,3984,43226,34088,11
2846960,6209,44858,39609,11
2846965,11410,41802,40537,11
2846970,9986,36616,38425,11
2846975,3936,39961,38297,11
2846980,4321,42666,46587,11
2846985,8850,40761,43530,11
2846990,8626,36840,40153,11
2846995,3712,40089,38889,11
2847000,8994,42490,49115,11
2847005,7569,38313,46171,11
2847010,4032,37337,37481,11
2847015,3952,40361,36824,11
2847020,5585,42202,49548,11
2847025,14899,41642,39529,11
2847030,3168,36776,36648,11
2847035,4913,38729,44570,11
2847040,8530,42730,43306,11
2847045,9122,40553,43690,11
2847050,4161,36360,35864,11
2847055,3664,41002,42714,11
2847060,4961,44842,42234,11
2847065,13891,41306,41130,11
2847070,11314,35304,42330,11
2847077,13795,42202,35576,11
2847082,11826,42730,47643,11
2847087,2384,39897,43802,11
2847092,4193,39865,31511,11
2847097,15027,42954,42538,11
2847102,7505,42410,47131,11
2847107,2208,39817,36664,11
2847112,9858,36344,43354,11
2847117,11282,39529,44778,11
2847122,10290,44650,39817,11
2847127,3360,40521,39465,11
2847132,4080,38441,36312,11
2847137,9170,41210,37785,11
2847142,6897,43402,42026,11
2847147,2224,37657,36072,11
2847152,3584,36408,41994,11
2847157,8930,42010,36440,11
2847162,11426,42586,49051,11
2847167,3200,43098,29191,11
2847172,4897,36232,41434,11
2847177,14531,40553,40025,11
2847182,7777,43706,37561,11
2847187,3472,35896,46603,11
2847192,3280,37625,36184,11
2847197,8450,42874,34616,11
2847202,15107,42186,47883,11
2847207,4000,37961,45515,11
2847212,4337,38441,33608,11
2847217,17476,40665,41338,11
2847222,14931,42842,46347,11
2847227,3440,41290,40601,11
2847232,3856,35064,44266,11
2847237,14147,41834,37817,11
2847242,11746,44154,46427,11
2847247,5393,41546,39817,11
2847252,4097,37977,39049,11
2847257,14131,41850,41050,11
2847297,16964,38553,42170,11
2847302,7281,45563,39385,11
2847307,3584,41034,40553,11
2847312,14291,35496,46971,11
2847317,8738,42906,34088,11
2847322,5457,42106,47835,11
2847327,3664,41754,36296,11
2847332,3792,37673,34600,11
2847337,13715,40601,39081,11
2847342,15891,43978,48203,11
2847347,2336,40761,41338,11
2847352,7969,37753,36744,11
2847357,15491,42938,37049,11
2847362,5969,44538,38649,11
2847367,3200,38537,43882,11
2847372,9010,36616,37193,11
2847377,8754,43626,40377,11
2847382,15203,43770,40521,11
2847387,2576,39641,41930,11
2847392,3664,37465,36696,11
2847397,12355,41290,42186,11
2847402,10002,43146,49628,11
2847407,8402,39017,43610,11
2847412,4369,37657,36392,11
2847417,13139,40409,40697,11
2847422,7441,43498,40970,11
2847427,1344,39897,41690,11
2847432,4721,37145,41034,11
2847437,11714,41050,38745,11
2847442,10162,43242,47099,11
2847447,3232,38905,40473,11
2847452,3376,36360,36921,11
2847457,14483,41850,41706,11
2847462,14083,44906,42650,11
2847467,3248,39817,38089,11
2847474,2944,38841,36856,11
2847479,3488,42170,41706,11
2847484,5249,40489,47403,11
2847489,8706,39161,39193,11
2847494,3440,39961,38249,11
2847499,2880,40617,43194,11
2847504,4257,42026,41818,11
2847509,9762,40409,38889,11
2847514,4289,41178,33208,11
2847519,3248,41530,40377,11
2847524,3168,41530,42154,11
2847529,13027,39721,36953,11
2847534,2672,38153,41530,11
2847539,3216,40745,45131,11
2847544,3872,42954,36873,11
2847549,9698,37977,40153,11
2847554,6849,39113,34856,11
2847559,14083,42186,41594,11
2847564,8194,41098,44874,11
2847569,8145,39657,40457,11
2847574,3776,39065,34904,11
2847579,3312,41386,39385,11
2847584,5505,43546,41018,11
